time,vwap,SMA(5),SMA(10),12dayEWM,rsi,MACD,mom,mfi,spread
2022-03-29 10:00:00,1.571157829649433,3.3696540727864535,3.3756461792886974,3.3690173867376627,1.2321992057509419,0.42744986806906127,1.4131172349999943,30.161448116394908,90.63043539009999
2022-03-29 11:00:00,1.5711664317738527,3.354191248740024,3.3622040289526343,3.3457479500951703,0.8285972213920807,0.3234902112595819,0.13597084820001015,-14.47831842277406,89.33254861650002
2022-03-29 12:00:00,1.571122874604711,3.338294668873509,3.3507766734845474,3.3248664285560796,0.7681587599698391,0.2149008122144238,-1.560175218800012,-37.46978473890273,89.03854816659998
2022-03-29 13:00:00,1.5710929180021613,3.3217165042160466,3.3451244788924046,3.312868889789519,0.7245816182046954,0.10419062297945914,-2.120357821000013,-69.40679259586528,88.7479200082
2022-03-29 14:00:00,1.5710802342646943,3.3054462800648654,3.337801996476795,3.304047358998448,0.7753901775666686,0.030183645589367813,-1.5907012949999881,-55.94300957119168,88.9224062749
2022-03-29 15:00:00,1.571049262520717,3.288567071569829,3.328734234734271,3.297235429567158,0.8464430189064698,-0.002680594078555032,-0.6807766301999791,-44.7113898625399,89.2415957478
2022-03-29 16:00:00,1.5709553750359324,3.286916811265295,3.320281566731616,3.2953709343397932,0.9117597313088612,0.0008412137938975661,-0.30676794629999193,-34.02542665803066,89.6081349655
2022-03-29 17:00:00,1.5709790772641954,3.292181494516742,3.3151078777056124,3.300265790907963,1.003195506022076,0.020390063502574662,-0.7784359470999789,-37.435526453235155,89.81872474900001
2022-03-29 18:00:00,1.5709790843306546,3.293707724222412,3.3076505960102978,3.2990536226546308,0.8819554681032984,-0.0010182494368109474,-1.255671522900002,-33.562259733818046,89.36127148979999
2022-03-30 10:00:00,1.5707945059765929,3.3019223567518012,3.2944201754330056,3.300365491490582,0.9877876441223905,0.04804071400985066,-0.4222654358000071,-35.42542230797046,90.2809181369
2022-03-30 11:00:00,1.570719752234418,3.305463344463381,3.298824581207971,3.3094952232306616,1.1190132362295728,0.10947670770246987,-0.1471358711999997,-24.893509260971086,90.4832995189
2022-03-30 12:00:00,1.5706565366298988,3.310837805061723,3.302271656630699,3.314174353277748,1.0765038574900423,0.14313447506049215,0.9849253633999879,9.851618060001442,90.3174739799
2022-03-30 13:00:00,1.5705447123248486,3.316651276997565,3.307599201774663,3.32277811245821,1.1681851535088408,0.1669133743027018,1.2668917244000042,27.0455579498621,90.30543989099999
2022-03-30 14:00:00,1.5704812385208042,3.3279601049944563,3.3133555093380322,3.3289888140172095,1.1447087630664436,0.1658316257374608,1.3342613991999883,32.448634079523615,90.08218140739999
2022-03-30 15:00:00,1.5703833926734485,3.334712350840692,3.3182495114883688,3.3328745414778256,1.1292991882365266,0.15688376621724842,1.0819218706000129,22.673669429440864,90.00432814550001
2022-03-30 16:00:00,1.570257905660602,3.343070019634054,3.3241591825325973,3.3451044422759186,1.406073182134054,0.19920219650063586,1.4035168784999854,36.34077758949172,90.64511262629999
2022-03-30 17:00:00,1.5702593697450327,3.3543461234101866,3.3324341568809235,3.356635163454677,1.5135589479571625,0.2588857150611048,1.3979832134000105,41.74848680988447,91.00611817890001
2022-03-30 20:00:00,1.5702594177980895,3.3609324434834504,3.338629294261157,3.3620799489531885,1.4115944155419629,0.2855625912351343,0.972613386799992,37.88641307979756,90.7913381358
2022-03-31 08:00:00,1.5702924066666912,3.47088232320103,3.4152340687532012,3.4750850990633135,2.1524256922074843,0.65230255525546,2.9915035414000073,55.83693738483031,92.1312493343
2022-03-31 10:00:00,1.5701191604009384,3.5388644292524236,3.459521927714922,3.5344627639045667,2.7211860939884627,0.7820831183793899,2.771759397000025,48.293482305003224,92.66003786290001
2022-03-31 11:00:00,1.5699315199539583,3.54369114216381,3.4759338330675393,3.5316265453451523,1.2854737042964326,0.7208778899933606,1.8400479104000027,12.413303028886268,91.52120341839999
2022-03-31 12:00:00,1.5697555399523577,3.5461810180886584,3.493040649080561,3.536386852840118,1.5247968294506655,0.7084147837400039,1.1285023793999898,-2.4258302195350794,92.06907481379999
