time,open,high,low,close,volume
2021-05-12 08:00:00,129.379088061,129.379088061,129.379088061,129.379088061,213
2021-05-12 09:00:00,128.929855116,129.379088061,128.73219262,128.750161938,3913
2021-05-12 10:00:00,128.65133069,129.513857944,128.561484101,128.723207961,608701
2021-05-12 11:00:00,128.73219262,129.334164766,128.444683536,128.687269326,622007
2021-05-12 12:00:00,128.678284667,128.866962504,127.936511229,127.99994292,719495
2021-05-12 13:00:00,127.995450591,128.098774168,127.330585833,127.51926367,629802
2021-05-12 14:00:00,127.510279011,127.824742072,127.303631856,127.366524468,552680
2021-05-12 15:00:00,127.348555151,127.977481273,127.303631856,127.788803436,633431
2021-05-12 16:00:00,127.76184946,127.779818778,126.809475617,126.944245501,1419359
2021-05-12 17:00:00,126.953230159,128.165440337,126.818460276,126.818460276,383482
2021-05-12 18:00:00,126.791506299,126.791506299,126.791506299,126.791506299,653
2021-05-12 19:00:00,127.132923337,127.132923337,126.953230159,126.953230159,1058
2021-05-12 20:00:00,127.582156282,127.582156282,126.971199477,126.971199477,605
2021-05-13 05:00:00,125.785224503,126.099687565,125.785224503,126.099687565,662
2021-05-13 08:00:00,126.683690393,126.953230159,126.009840976,126.683690393,7658
2021-05-13 09:00:00,126.342273355,127.240739244,126.027810293,126.953230159,6543
2021-05-13 10:00:00,127.222769926,129.046655681,126.908306865,128.540280306,638708
2021-05-13 11:00:00,128.561484101,129.365611072,128.435698877,129.244318177,634279
2021-05-13 12:00:00,129.235333518,129.280256813,128.516560807,128.857977845,497985
2021-05-13 13:00:00,128.884931821,129.546831642,128.750161938,129.356626413,507857
2021-05-13 14:00:00,129.338657096,129.657612486,129.109548294,129.594719874,750320
2021-05-13 15:00:00,129.576750556,130.187707361,129.54979658,129.900198276,517574
2021-05-13 16:00:00,129.882228959,130.187707361,129.531827262,129.540811921,785508
2021-05-13 17:00:00,129.531827262,129.648627827,129.379088061,129.648627827,52780
2021-05-13 18:00:00,129.406042037,129.729489757,129.334164766,129.729489757,19010
2021-05-13 19:00:00,129.531827262,129.675581804,129.531827262,129.540811921,650
2021-05-13 20:00:00,129.71152044,129.729489757,129.558781238,129.558781238,2400
2021-05-14 07:00:00,129.828321005,130.286538609,129.828321005,130.286538609,5569
2021-05-14 08:00:00,130.259584632,130.609986329,130.259584632,130.609986329,2092
2021-05-14 09:00:00,130.282765052,130.726786895,130.097860772,130.097860772,8548
2021-05-14 10:00:00,130.502170422,130.897495413,129.765428393,130.205676679,553068
2021-05-14 11:00:00,130.178722702,130.232630655,129.343149425,129.756443734,381240
2021-05-14 12:00:00,129.765428393,129.95410623,129.459949991,129.702535781,319172
2021-05-14 13:00:00,129.724997428,130.151768725,129.724997428,130.142784066,229127
2021-05-14 14:00:00,130.160753384,130.339817636,130.124814749,130.259584632,236511
2021-05-14 15:00:00,130.259584632,130.457247128,130.133799408,130.187707361,224215
2021-05-14 16:00:00,130.187707361,130.313492585,129.936136912,129.95410623,614000
2021-05-14 17:00:00,129.990044865,130.008014183,129.828321005,129.990044865,77840
